sdss_name_j,sdss_name,fitsname,zqso,zabs,snr_m_3934,snr_m_3969,snr_3934_center,snr_3969_center,ew1,ew2,drift1,drift2,fwhm1,fwhm2,ew1_err,ew2_err,FWHM1,FWHM2,RA_j,DEC_j,PLATE_j,FIBER_j,MJD_j
SDSS J121628.03+035031.8,SDSS J121628.03+035031.8,spec-4751-55646-0614.fits,0.995999992,0.551865339,2.711189168,2.278905554,2.711189168,2.277983094,0.406735696,0.221228719,-1.325558743,-0.283964134,1.963911242,1.224746751,0.150021142,0.097076739,2.126617784,2.045297607,184.1167931,3.842168044,4751,614,55646
SDSS J131819.51+254823.4,SDSS J131819.51+254823.4,spec-5997-56309-0290.fits,1.455000043,1.071409583,4.094413303,2.4094501,4.079613602,2.419894614,0.316960236,0.205691288,-0.290042334,-0.3278286,2.186159539,2.665972911,0.077412858,0.085368561,2.429947085,1.238585008,199.5812877,25.80650449,5997,290,56309
SDSS J132727.01+671520.0,SDSS J132727.01+671520.0,spSpec-51988-0496-573.fit,2.145407915,1.097982287,3.546648818,2.800463285,3.520048692,2.800463284,0.442919182,0.448060208,0.176317789,0.643258639,1.492580963,1.653645508,0.124883857,0.15999503,2.164797977,2.129080884,201.862546,67.255564,496,573,51988
SDSS J131642.56+222759.7,SDSS J131642.56+222759.7,spec-5993-56070-0368.fits,2.407999992,1.119478703,3.416773185,2.3149209,3.025047734,2.505163139,1.671017153,0.560072794,2.105663774,0.575072506,1.742231418,1.460112212,0.489062944,0.241940359,2.591058837,2.629007998,199.1773394,22.46657943,5993,368,56070
SDSS J123844.17+391409.8,SDSS J123844.17+391409.8,spSpec-53433-1984-008.fit,1.458156943,0.896461844,2.557909658,3.754859641,2.570165268,3.754859644,0.654548429,0.700066063,1.038323817,-0.135273376,2.86635905,1.647445313,0.255891926,0.186442671,2.194662775,2.781660961,189.684054,39.236059,1984,8,53433
SDSS J154244.36+153810.1,SDSS J154244.36+153810.1,spec-3933-55335-0010.fits,1.879999995,1.25139761,3.784235119,3.391614271,3.825618368,3.123726839,0.199962584,0.15677867,-0.423084495,0.412789661,1.636900924,1.585827022,0.052840951,0.046225383,1.613580838,1.383198619,235.6848527,15.63614689,3933,10,55335
SDSS J120035.91+492904.7,SDSS J120035.91+492904.7,spSpec-54537-2919-304.fit,1.212849975,0.684610069,5.181012763,3.303635351,5.181012763,3.303635353,0.427793061,0.225914327,-0.209971788,0.345456773,1.459711044,1.243475313,0.08256939,0.068383554,3.239366324,1.545745118,180.149621,49.484645,2919,304,54537
SDSS J134005.85+224304.2,SDSS J134005.85+224304.2,spec-5998-56087-0140.fits,2.035000086,0.917664409,3.802322846,2.999192206,3.802322846,2.873090615,0.38591157,0.501669935,-0.730077035,-0.801163851,2.172022487,1.975781816,0.101493636,0.167268351,1.728504842,1.568571694,205.0243564,22.71784459,5998,140,56087
SDSS J074541.50+330306.3,SDSS J074541.50+330306.3,spSpec-52235-0755-508.fit,1.593227983,0.864495933,3.422985931,2.220182879,3.368708117,2.220182869,0.403640068,0.10531182,0.743008841,-0.067835862,3.245894556,1.152256665,0.117920458,0.047433849,1.411258774,1.360762136,116.422922,33.051763,755,508,52235
SDSS J161042.84+201008.1,SDSS J161042.84+201008.1,spSpec-53795-2206-279.fit,1.269323945,0.85627377,3.205599672,2.687532516,3.205599674,2.270366993,0.35855606,0.3061649,0.488398723,-0.074224236,2.206427155,1.947119617,0.111853037,0.113920445,1.610336221,1.89624318,242.678517,20.168924,2206,279,53795
SDSS J081739.19+453228.4,SDSS J081739.19+453228.4,spec-3691-55274-0936.fits,1.50999999,0.748621821,7.652860675,3.895848096,7.612384898,3.875822034,0.783072286,0.269428048,0.151241506,0.787993021,3.159137064,2.085822696,0.102324127,0.06915774,3.278372211,2.961169271,124.4133119,45.54121513,3691,936,55274
SDSS J142624.35+533550.1,SDSS J142624.35+533550.1,spec-7032-56471-0727.fits,1.518000007,0.811051726,2.656074568,3.517663598,2.641055396,3.529744657,0.149655025,0.203511019,-0.091763118,1.698383511,1.987569517,1.814002773,0.056344437,0.057854031,1.693018002,2.633619887,216.6014552,53.59725564,7032,727,56471
SDSS J104941.14+270608.3,SDSS J104941.14+270608.3,spec-6453-56365-0038.fits,1.5,0.748975158,3.489863944,2.051968786,3.485892009,2.051968786,0.663834299,0.198087852,0.138548608,-0.160233898,2.56054684,1.386361525,0.190217816,0.09653551,1.421801895,2.521791845,162.4214112,27.10231233,6453,38,56365
SDSS J100545.70+103808.9,SDSS J100545.70+103808.9,spec-5327-55979-0016.fits,2.332000017,1.339879036,2.825118207,2.315334407,2.783158544,2.315334404,0.615159556,0.340100657,1.077190403,1.427230331,2.413009593,1.569908591,0.217746484,0.146890512,2.58785634,1.781122046,151.4404105,10.63579849,5327,16,55979
SDSS J113230.03+311635.1,SDSS J113230.03+311635.1,spSpec-53430-1974-177.fit,1.144757032,1.000758529,4.534286732,2.334677262,4.534286739,2.33467726,0.246544965,0.180097998,0.052930666,0.350439452,1.519050966,2.396388362,0.054373483,0.077140426,2.212643771,1.439311266,173.125112,31.276424,1974,177,53430
SDSS J084414.84+430119.0,SDSS J084414.84+430119.0,spec-6783-56284-0166.fits,1.09800005,0.859138966,2.902410246,2.103759806,3.368004615,2.069839376,0.639223184,0.264187851,-1.329923971,-1.355998613,2.25278899,1.427134145,0.220238743,0.125578904,1.596807362,2.22593373,131.0618427,43.02195216,6783,166,56284
SDSS J142446.30+054717.4,SDSS J142446.30+054717.4,spec-4861-55710-0046.fits,2.400000095,0.902845383,7.210398664,3.895674794,7.108023162,3.888381787,0.547307503,0.207380037,-1.186567196,-0.806915377,2.71951515,2.071226373,0.075905304,0.053233406,3.245894556,1.152256665,216.192904,5.788153726,4861,46,55710
SDSS J145943.02+010601.5,SDSS J145943.02+010601.5,spec-4016-55632-0558.fits,2.095000029,1.295983672,3.986829279,2.428568651,3.933394576,2.318882964,0.455882105,0.212874848,-1.438885458,-2.77448518,2.715879158,1.817399897,0.114347034,0.087654449,2.036451787,1.72362544,224.9292656,1.100411201,4016,558,55632
SDSS J142538.06+120919.2,SDSS J142538.06+120919.2,spSpec-53503-1708-220.fit,1.621741056,0.757363498,2.816722572,2.671233598,2.829855431,2.671233601,0.272479018,0.171146625,-0.221205481,-0.170629454,1.837774321,1.163757902,0.096736193,0.064070258,2.464649788,1.738438534,216.408566,12.155327,1708,220,53503
SDSS J104401.13+212804.0,SDSS J104401.13+212804.0,spec-5874-56039-0970.fits,1.501000047,1.010060072,4.001228776,2.046255027,4.001228776,2.053332089,0.204357098,0.076396052,-0.080880183,-0.218702656,1.725187443,1.212673342,0.051073585,0.03733457,2.111289392,2.35732833,161.0047182,21.46777452,5874,970,56039
SDSS J094047.93+523607.4,SDSS J094047.93+523607.4,spSpec-53764-2404-173.fit,1.661445022,0.786570132,6.285722933,3.429905464,6.285722933,3.534590719,1.24243787,0.72021521,0.397533217,-0.212219391,3.788453112,3.69142101,0.197660298,0.209981067,2.893929852,1.505284337,145.199697,52.602066,2404,173,53764
SDSS J154602.22+420726.1,SDSS J154602.22+420726.1,spSpec-52468-1053-502.fit,2.073230028,1.090220809,2.906140683,2.215076199,2.775803007,2.18902067,0.57259876,0.567497796,1.635140506,-2.399710728,2.086411661,1.690082436,0.19703064,0.256197867,2.110073891,0.849386642,236.509244,42.12392,1053,502,52468
SDSS J112214.28+613257.7,SDSS J112214.28+613257.7,spec-7109-56658-0140.fits,1.322999954,0.730401993,5.224452296,3.391683223,5.230876677,3.458707066,0.477354887,0.419461072,1.864666787,1.372087049,1.972557903,1.870375956,0.091369365,0.123673422,1.417387848,1.168345323,170.5595067,61.54937189,7109,140,56658
SDSS J133610.97+184529.9,SDSS J133610.97+184529.9,spSpec-54230-2641-068.fit,1.943377018,1.10246861,4.702638192,3.783442464,4.70263819,4.02720232,0.297262163,0.196964402,-0.434131527,-0.075014614,2.424396211,1.064879437,0.063211787,0.052059574,2.357093998,1.006541119,204.045689,18.758312,2641,68,54230
SDSS J114832.21+345253.2,SDSS J114832.21+345253.2,spSpec-53436-2035-248.fit,1.517724037,0.546366215,2.721545383,2.783699234,2.65729218,2.783699234,0.493378786,0.579333141,-0.673553731,-0.444963218,2.417481703,2.688668032,0.181286261,0.208116284,1.921522538,1.26970604,177.134223,34.88145,2035,248,53436
SDSS J145435.18+094100.1,SDSS J145435.18+094100.1,spec-5476-55986-0874.fits,1.950999975,1.268917561,2.521074964,2.34065418,2.521074964,2.34065418,0.376646736,0.228911182,-0.66950336,-0.066578948,1.534698811,1.426092024,0.149399261,0.097797951,1.416250842,1.144651855,223.6465861,9.683360373,5476,874,55986
